Access point,アクセスポイント
Additional access point,付加的アクセスポイント
Agent,行為主体
Attribute,属性
Authority record,典拠レコード
Authorized access point,典拠形アクセスポイント
Authorized form of type,名称の典拠形
Bibliographic description,書誌記述
Bibliographic record,書誌レコード
Bibliographic universe,書誌的宇宙
Bibliographically significant,書誌的有意性
Carrier type,キャリア種別
Collection,1)合集、2)コレクション
Concept,概念
Content type,内容種別
Contorolled access point,統制形アクセスポイント
Conventional name,慣用名
Corporate body,団体
Creator,作成者
Descriptive cataloguing,記述目録作業
Entity,実体
Essential access point,中核的アクセスポイント
Event,出来事
Expression,表現形
Family,家族
Identifier,識別子
Item,個別資料
Key title,キータイトル
Manifestation,体現形
Name,名称
Object,物
Person,個人
Place,場所
Prefered name,優先される名称
Relationship,関連
Subject cataloguing,主題目録作業
Uncontolled access point,非統制形アクセスポイント
Variant form of type,名称の異なる形
Work,著作
